wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
MwrsycEvx,https://weibo.cn/comment/MwrsycEvx?uid=1837896330&rl=0#cmtfrm,买Maia Active好像和某些国男约会啊，表面上光鲜亮丽，讲道理，也能带来一些情绪价值，但某一瞬间你会发现，哦嚯，内核还是东亚爹。那还能怎么办呢，只能给其他品牌送钱了。  ,2023-03-09 10:01,60,8,6,,,
EhKnTeJQf,https://weibo.cn/comment/EhKnTeJQf?uid=1837896330&rl=0#cmtfrm,Social media political ephemera  ,2016-11-16 04:43,0,7,0,,,
Ehk5fl9go,https://weibo.cn/comment/Ehk5fl9go?uid=1837896330&rl=0#cmtfrm,This photo just haunts me so much. Fascism rising.  原图 ,2016-11-13 09:46,1,7,7,,,
EillEpybV,https://weibo.cn/comment/EillEpybV?uid=1837896330&rl=0#cmtfrm,鲜艳口红、刺鼻香水与羊绒衫交织的冬天迟到了很久。  ,2016-11-20 02:49,3,6,9,,,
LvFCTm4nw,https://weibo.cn/comment/LvFCTm4nw?uid=1837896330&rl=0#cmtfrm,解封我是很开心的，但不想让这一刻的开心使过去两个月的痛苦成为轻描淡写。突然的封锁和突然的解封促进经济，其实很像中学时长辈们禁止谈恋爱，但大学毕业了又希望你立刻结婚生小孩。或者是，管得严都是为你好，是为了你的安全。教育真的很能体现一个国家的治理方式。  ,2022-06-01 09:30,19,6,0,,,
Efv8kDlU3,https://weibo.cn/comment/Efv8kDlU3?uid=1837896330&rl=0#cmtfrm,填seminar application要写相关课程，就去翻本科时选过的课，发现两年前在巴黎竟然可以用法语写当代艺术展评、戏剧评论和埃及艺术论文，然而现在并读不懂——这不是真的😭 Miss my Parisian days.  [组图共4张] 原图 ,2016-11-01 10:13,7,6,4,,,
I0bt3seDK,https://weibo.cn/comment/I0bt3seDK?uid=1837896330&rl=0#cmtfrm,上过的中国艺术史课不多，真正学是在哥大的时候，两个非常有名的教授共同教的课，但他们可能太忙不想花太多时间备课，就给每个人准备了纸墨笔砚让我们在实践中感悟水墨画的精髓。现在想起来，真是最快乐的时光，探索和创造美得到的成就感远远大于引用不相关的哲学理论来解读当代艺术。  ,2019-08-01 11:31,14,5,3,,,
EgJu1ePNw,https://weibo.cn/comment/EgJu1ePNw?uid=1837896330&rl=0#cmtfrm,I don't know who's worse but... #currentmood  原图 ,2016-11-09 12:35,5,5,3,,,
EgXs4AHIM,https://weibo.cn/comment/EgXs4AHIM?uid=1837896330&rl=0#cmtfrm,今天突然明白了Cappy的用心良苦：让贫困家庭的小孩——无论种族——接受开放的博雅教育，所以他们不会变成Trump supporters.  ,2016-11-11 00:09,5,5,0,,,
EfgnSC28K,https://weibo.cn/comment/EfgnSC28K?uid=1837896330&rl=0#cmtfrm,"大概是Halloween weekend, 早上起来想点一杯detox juice但都已经卖光了😳  ",2016-10-30 20:40,3,4,0,,,
EqUQGhPM1,https://weibo.cn/comment/EqUQGhPM1?uid=1837896330&rl=0#cmtfrm,分享图片  原图 ,2017-01-15 11:54,2,4,1,,,
EitDFdWbB,https://weibo.cn/comment/EitDFdWbB?uid=1837896330&rl=0#cmtfrm,最近看着Camille Henrot在Tonga拍摄新作品的日常觉得很开心。抛掉一切理论，可能我被她吸引的最基本原因就是对elsewhere的好奇与渴望。 Une vraie romantique.  原图 ,2016-11-20 23:55,3,4,2,,,
KqqPz3mOo,https://weibo.cn/comment/KqqPz3mOo?uid=1837896330&rl=0#cmtfrm,:在放着勃拉姆斯读A Gentleman in Moscow的夜晚，完全沉浸在了作者构筑的世界中，甚至在主人公即将纵身跃入莫斯科夜幕中的刹那，有为其落泪的冲动。短暂地回到了大学时那种超越现实的状态，无论外面发生什么，在我的一方天地中，我是快乐而自由的。但合上书本，微博上铺天盖地的不公又将我拉扯回现实中，如此丑陋，而我无从也不想逃避。我想要了解这个世界，想见证它变得更好，即便这带来的是与文学与艺术日渐疏远而产生的愧疚感。,2021-07-25 23:55,22,4,0,,,
Esaep83pn,https://weibo.cn/comment/Esaep83pn?uid=1837896330&rl=0#cmtfrm,纪念一个醒来而倍受鼓舞的早晨。Women's March around the world.  [组图共9张] 原图 ,2017-01-23 16:54,8,4,0,,,
F6BJDgk1g,https://weibo.cn/comment/F6BJDgk1g?uid=1837896330&rl=0#cmtfrm,:刷完了《欲望都市》最终季，最后两集很有意思。在纽约时Carrie介绍她的俄罗斯艺术家情人给朋友们及她们的伴侣，一桌子纽约客，讨论的都是美国文化，运用的都是美式幽默，更重要的是带着纽约客的沾沾自喜。长居巴黎的热爱诗歌与古典乐的俄罗斯艺术家显得格格不入，但他的文化优越感让他有资格傲慢，即便是在孤立的情况下。他坚持称，巴黎是世上最好的城市。Carrie抛弃一切来到巴黎，没有了自己的事业与朋友，无事可做，无处可去，穿得再华丽也无法像当地的女性们一样时髦自在。想到之前在上海认识的法国人，是个土生土长这辈子也无法离开巴黎的人：即使在上海也要住名字中带巴黎的公寓，点酒时看到“东方巴黎”就不会再考虑其他，诸如此类。本身是个好看的人，但异国的生活让他失去了光彩，油腻的中餐也让他的身材走形。然而几个月后在巴黎与他重逢时讶异他竟然变得这么好看，整个人神采奕奕，因为找回了社交位置，找回了自己的土壤。所以人都是需要土壤才能光彩焕发，即使这片“土壤”本身是一种无土壤的漂泊状态。吸收足够的养分，保持自己的独立性与完整性，才会吸引更多的人。,2017-06-06 21:13,10,4,2,,,
Eu3Ow9UEf,https://weibo.cn/comment/Eu3Ow9UEf?uid=1837896330&rl=0#cmtfrm,Addicted to Fleur du Mal!  [组图共3张] 原图 ,2017-02-05 04:14,3,3,0,,,
K6qhcv3zu,https://weibo.cn/comment/K6qhcv3zu?uid=1837896330&rl=0#cmtfrm,:早上想听3·15相关的新闻，却被灌了一口浓稠鸡汤：“人不能一直待在舒适区，舒适惯了人就会变呆、变傻。”想到跟一个同事聊天，她说从小妈妈就一直让她向内归因，遇到问题时就会指责她，让她反思自身。“考试考不好是因为你不够努力。”“他不喜欢你是因为你不够优秀。”所以当我吐槽渣男时，她会下意识去帮他开脱，说他好的地方。教育就像是一个社会从上而下的教导的缩影。我们会向内归因，一直辛苦是应该的，如果承受不了这种辛苦，是你的问题。不是说这是不好的事情，但对于个人来说肯定有痛苦的瞬间。,2021-03-16 09:44,14,3,0,,,
GAYvk4ZPa,https://weibo.cn/comment/GAYvk4ZPa?uid=1837896330&rl=0#cmtfrm,苦情歌为什么这么流行，大概是因为大家都想做“好人”吧：精神上受了虐，道德上却解脱了，至高无上。尤其是在这样强调集体主义和正面价值观的地方。  ,2018-09-25 13:04,42,3,0,,,
NaE82vChp,https://weibo.cn/comment/NaE82vChp?uid=1837896330&rl=0#cmtfrm,定义我人生的趋势是，每隔几年就想推翻一切重来。大概是因为成长过程中一直在换城市居住。对物质和头衔都看得很淡（但明白要有满足基本生活的赚钱能力），也真的很容易感到厌倦。由于无法在一个领域深耕，这辈子也不会有太大的成就，但能拥有广阔的人生体验，也不失为一种乐趣。  ,2023-07-20 00:34,9,3,2,,,
Hc3rf4evf,https://weibo.cn/comment/Hc3rf4evf?uid=1837896330&rl=0#cmtfrm,:Hannah Gadsby: ”The history of western art is just the history of men painting women like they’re flesh vases for their dick flowers.” 看她批判西方艺术，批判毕加索的厌女症，让学了六年艺术史的我有了新的视角。在教授和学生的互动之间总有一层文明的遮羞布，所以我们可以面不改色地讨论裸女图的技巧高明之处，而忽视其中的欲望投射和性别不平等，或者一本正经地解析原本就只是作为色情笑话的绘画背后更深刻的艺术动机。Hannah Gadsby的话让我感到羞愧。We need radical women in art history. We need radical women in academia. We need radical women everywhere.,2019-01-15 14:24,10,3,0,,,
H0VC8fUFk,https://weibo.cn/comment/H0VC8fUFk?uid=1837896330&rl=0#cmtfrm,"进博会期间夜店两点就关，于是1:15的时候DJ喊道: ”Shanghai, we’ve only got 45 more minutes!” 很lmao了。  原图 ",2018-11-03 10:16,5,3,0,,,
Ejqgns3Hd,https://weibo.cn/comment/Ejqgns3Hd?uid=1837896330&rl=0#cmtfrm,"Juergen Teller for Céline SS13, reminds me of Meret Oppenheim's fur-covered cup (""Object,"" 1936): a play between usefulness and uselessness, provocation and prohibition.  [组图共2张] 原图 ",2016-11-27 05:10,3,3,0,,,
FnE3HpwXL,https://weibo.cn/comment/FnE3HpwXL?uid=1837896330&rl=0#cmtfrm,"Jacquemus Spring 2018 RTWOui, maman est la bombe !Source: Vogue Runway  [组图共9张] 原图 ",2017-09-26 22:23,8,3,1,,,
JyBxw9M1I,https://weibo.cn/comment/JyBxw9M1I?uid=1837896330&rl=0#cmtfrm,":昨天去的酒店泳池入口有这样一座雕塑，觉得很美，所以就发了Instagram story. 马上收到直男朋友们的私信说这座雕塑很性感，”extra risqué”。现在想起来，作为直女艺术史学生的我看雕塑，尤其是女性雕塑，的确觉得sensual, 但是一种美感主导的sensual; 但男性艺术家、赞助人和观众看的时候，可能就真的是”instant boner” (借用某直男朋友的话)。难怪Hannah Gadsby要吐槽说”The history of Western art is just the history of men painting women as if they were flesh vases for their dick flowers.”",2020-12-15 19:09,18,3,1,,,
EcCLUpjQu,https://weibo.cn/comment/EcCLUpjQu?uid=1837896330&rl=0#cmtfrm,"想起某个周日午睡，半梦半醒间，窗外飘来不知是街头艺人或爵士俱乐部演奏的chanson d'automne, 恰好在天凉转秋时。  ",2016-10-13 12:09,2,3,1,,,
Kk8ML4zln,https://weibo.cn/comment/Kk8ML4zln?uid=1837896330&rl=0#cmtfrm,自洽的人有一种特殊魅力，因为伴随缺陷而来的，通常是某种吸引人的特质。软弱的人往往温柔，懒散的人往往能让你忘记压力，不负责任的人往往能让你活在青春年岁的幻觉中。TA接受了自己的缺陷，与其相伴的吸引人的特质也被发挥得更极致。潜在危险全然已告知，飞蛾扑火是你的选择。  ,2021-06-14 14:56,18,3,0,,,
Ecs6joqnX,https://weibo.cn/comment/Ecs6joqnX?uid=1837896330&rl=0#cmtfrm,"下课前几分钟，教授突然声音哑了讲不出话，恢复后说：""You see I don't have stamina. Men also can have no stamina. Well, my hands are not small..."" 😅😅😅  ",2016-10-12 08:59,2,3,0,,,
EuHiondVp,https://weibo.cn/comment/EuHiondVp?uid=1837896330&rl=0#cmtfrm,You're telling me that women rule with such a shop window-esque image? Ugh.  原图 ,2017-02-09 08:45,8,3,0,,,
Ia0g2CqrJ,https://weibo.cn/comment/Ia0g2CqrJ?uid=1837896330&rl=0#cmtfrm,":我的硕士项目里有典型的白人富家女——住在上东区妈妈是上过顶级杂志封面的前模特，或是来自伦敦自己从顶尖女校升学到哥大弟弟从顶尖男校升学到哈佛的——也有来自中产家庭的。第二年我们基本上都拿到了travel grant, 和我一起去欧洲的是来自教师家庭的白人女生，父母离异且父亲过世了留给她财产，所以她完全经济独立，全程订Airbnb或寄宿在朋友家（有一晚她住在朋友家的bunk bed上层，狭小得超乎想象所以她拍了视频发Instagram）。当时受了她启发，我也想经济独立把预算控制在我的grant里，所以在巴黎订了曾是门卫住所的极小的Airbnb, 由于在一层所以无法打开窗帘，终日不见阳光。与当时的约会对象重见时，我可以明显感受他眼中的惊讶与轻蔑。而我后来也是一个人在这个散发着霉味的小房间里哭了两天。那次经历让我意识到能独立地维持现有生活方式的重要性，因此毕业前没有找任何与艺术相关的工作。比起热情与爱情，我可能一直更看重独立与自由，也最敬佩能靠自己能力做到这两点的人。",2019-10-05 01:22,17,3,2,,,
EqTXDiKv4,https://weibo.cn/comment/EqTXDiKv4?uid=1837896330&rl=0#cmtfrm,Cheap thrills that art and fashion sell us.  原图 ,2017-01-15 09:38,2,3,0,,,
FEvet2RjV,https://weibo.cn/comment/FEvet2RjV?uid=1837896330&rl=0#cmtfrm,扯了一堆拥有不拥有，我终于搞明白了：放下某人后，我又变成了完整的自己，一个纯粹由自己的经历和想法构成的独立个体，而不是沉浸在与他捆绑的将来的幻想中，which makes me monomaniacal. 所以从某种角度来说，走出了这条单行道，我再次拥有了世界。  ,2018-01-15 19:10,10,3,0,,,
NjlRIARzi,https://weibo.cn/comment/NjlRIARzi?uid=1837896330&rl=0#cmtfrm,"巴黎友人说”bobo” (bohemian bourgeois)是一个需要知道的重要词汇，尤其对于巴黎人来说，总结就是：You are leftist, but unwilling to give up the comfort of the bourgeoisie; you agree with some rightist ideas, but are too ashamed to admit it. 好的，别骂了。  ",2023-09-15 06:37,9,3,0,,,
F3hkl6631,https://weibo.cn/comment/F3hkl6631?uid=1837896330&rl=0#cmtfrm,Devon Aoki by Satoshi Saikusa for Vogue Paris March 2000  [组图共4张] 原图 ,2017-05-15 23:45,7,3,0,,,
Ky2KeyjWW,https://weibo.cn/comment/Ky2KeyjWW?uid=1837896330&rl=0#cmtfrm,:曾以为无聊是一种短暂状态，一种偏离，但其实是人类生活的常态，就像饥饿一样。饥饿是肉体上的，饿了要进食；无聊是精神上的饥饿，精神饿了也同样要进食，通过消费娱乐或文化产品。可能有少数人，所谓的成大事者，可以克服这两种饥饿，但大多数人还是每天等着被投喂。无数公司的成功都是建立在这种常态上。,2021-09-14 01:18,5,3,4,,,
IdDrGayCw,https://weibo.cn/comment/IdDrGayCw?uid=1837896330&rl=0#cmtfrm,对Modern Love完全无感，充满了资本主义的垂影自怜，就像纽约。  ,2019-10-28 22:39,5,2,0,,,
JkbJHaJ3V,https://weibo.cn/comment/JkbJHaJ3V?uid=1837896330&rl=0#cmtfrm,":Chimamanda Ngozi Adichie太有洞察力了，而且辛辣幽默，推荐Americanah给每个在美国生活过的外国人阅读。印象深的有很多，其中有一段是讲在美国读grad school的人都不会讲英语了，而是讲”academese”—“The semiotic dialectics of intertextual modernity,” for instance. 想到读研时，有个同学做展示用到了”praxis”这个词，坐在我边上的研究日本艺术的明星教授突然转过来对我说，他其实从来没怎么搞懂praxis是什么意思，是不是就是practice? 瞬间变可爱了。两年间，艺术史知识不知学到了多少，学会了academese倒是真的。",2020-09-11 23:43,10,2,2,,,
EjKI06h43,https://weibo.cn/comment/EjKI06h43?uid=1837896330&rl=0#cmtfrm,终于还是在Cyber Monday剁了手😳  ,2016-11-29 09:13,1,2,0,,,
Ke6VbtdLZ,https://weibo.cn/comment/Ke6VbtdLZ?uid=1837896330&rl=0#cmtfrm,感谢理性思考，让我省去了不少感性带来的痛苦。但有时候会怀念这种感性，尤其是年少时的，它带来的细腻美感与细微情感感受，其中也包括痛苦。少年的可爱之处在于有大把的时间来认识世界、认识自己，大多是通过感性而非理性的方式，因而能在每一份微小的体验中找到诗意。  ,2021-05-05 23:10,5,2,0,,,
IeQSc1MJq,https://weibo.cn/comment/IeQSc1MJq?uid=1837896330&rl=0#cmtfrm,"最近看的剧里高频率出现Vassar: Modern Love里安妮海瑟薇扮演的躁郁症患者（其实她真的在Vassar读过书）；The Politician里的black, gender-nonconforming lesbian; Mrs. Fletcher里闪现的某野鸡大学导师 (为了强调Vassar没有Greek life🙄)。不知道是我们学校槽点太多，还是毕业生都去做了编剧。  ",2019-11-05 22:40,7,2,4,,,
G4KvLbUFN,https://weibo.cn/comment/G4KvLbUFN?uid=1837896330&rl=0#cmtfrm,我和很多人一样，觉得“适应能力强”是优点。但转念一想，“适应能力强”也可以描述逆来顺受，或安于现状，然后就变成温水煮青蛙。磨掉了棱角，拔掉了反骨，变成一个世俗的人。  ,2018-02-25 14:37,7,2,3,,,
Jgx0masqB,https://weibo.cn/comment/Jgx0masqB?uid=1837896330&rl=0#cmtfrm,:下午去观摩国际学校初中生辩论，两个男生的逻辑不如对面的两个女生，但通过不停打断对方、声音压过对方，最后以2:1的投票赢得比赛（唯一投了女生组的评委是刚录取耶鲁的woke女生，估计全场和我一样感到不适）。男生们不是粗鲁的那种，两个人都仪表堂堂，也非常会交际，下了赛场就去跟对方辩友与评委们握手。想起上周日去社区中心做英语义工时，有一个小组听写环节，男生们都争着要执笔，而我好不容易给女生机会时，一个男生抢过笔说：“还是我来吧，女生听力不好。”他们都只有一年级。性别歧视可能根据年龄的增长或阶级的区别而表现不同，但却像空气一样，无处不在。有的简单粗暴，让你也可以简单粗暴地感到愤怒和回击；有的伤人于无形，明明前一秒让你吃了亏，下一秒就握手言和请你不要在意。每一种都让人难受。,2020-08-18 22:30,22,2,4,,,
Jj1OscTpI,https://weibo.cn/comment/Jj1OscTpI?uid=1837896330&rl=0#cmtfrm,早上听的podcast是关于解读动物语言的，比如如何告诉海洋哺乳动物避开大型的船只，避开泄漏的原油；如何把语言解构成图形，在人类与动物语言中进行翻译。好浪漫，抛开一切现实阻碍，是梦寐以求的工作了。  ,2020-09-04 08:37,9,2,0,,,
Lp4JKnyPQ,https://weibo.cn/comment/Lp4JKnyPQ?uid=1837896330&rl=0#cmtfrm,以前社会学课里说，白人统治阶层让非裔和亚裔内斗，他们就能坐稳统治的位置了。最近看居委会群聊也是这感觉，居委只要装死，群里的人们就会自己跟自己吵起来，最后就没居委什么事了。然后什么都没解决。  ,2022-04-19 00:34,16,2,0,,,
EsXpBzijM,https://weibo.cn/comment/EsXpBzijM?uid=1837896330&rl=0#cmtfrm,People keep asking me what I'm gonna do with this fancy master's degree in Art History from Columbia. I'm like .  ,2017-01-28 22:06,4,2,2,,,
EpoeejVSF,https://weibo.cn/comment/EpoeejVSF?uid=1837896330&rl=0#cmtfrm,来自我最喜欢的老板  原图 ,2017-01-05 11:01,2,2,2,,,
Kujg26lR9,https://weibo.cn/comment/Kujg26lR9?uid=1837896330&rl=0#cmtfrm,我们部门来了个耶鲁本科毕业的小伙子，充满干劲，简直就是呼兰口中的算数的猴子、说方言的鹦鹉和学英语的狗狗。只可惜我们行业都是咸鱼，不是沙丁鱼，就算放鲶鱼进来也游不起来。  ,2021-08-20 11:59,14,2,2,,,
HB71GkaHl,https://weibo.cn/comment/HB71GkaHl?uid=1837896330&rl=0#cmtfrm,讨论到友谊如何形成，好友说”We’re friends but we’re different. We like very different things.” (比如她绝对不会在雨天穿的是她的宝贝运动鞋们，我是凉鞋和高跟鞋)“But we’re bitches.”“Lol the common core.”兴趣爱好都是浮云，本质相似的人才能玩得到一块去。  ,2019-06-29 09:30,8,2,0,,,
F3qLRaRxa,https://weibo.cn/comment/F3qLRaRxa?uid=1837896330&rl=0#cmtfrm,讲到某司男女关系复杂，好友说，感觉部分精英是不需要道德的。想来也是，Susan Sontag曾说过性约束原本就只是用来约束中产阶级的，上流与底层社会向来是（或向来被想象为）放浪形骸的。  ,2017-05-16 23:47,4,2,0,,,
Exfxk8MIN,https://weibo.cn/comment/Exfxk8MIN?uid=1837896330&rl=0#cmtfrm,:Jonathas de Andrade在新美术馆展出的最新影像作品，拍摄于巴西东北部渔村，虽然借用了人类学纪录片的模式，展现的却一种虚构的仪式：捉到鱼后，渔民会将它捧在胸口，不停爱抚直到它停止呼吸。整个过程充满一种病态又刺激的感觉，既能看见赤裸上身的渔夫无比温柔的姿态，又能听见被放大的动物的挣扎喘息声，满足（西方）观众对异域幻想的同时，似乎也嘲笑着他们的一厢情愿。 网页链接,2017-02-26 03:36,7,2,4,,,
LfcYPsUPw,https://weibo.cn/comment/LfcYPsUPw?uid=1837896330&rl=0#cmtfrm,:去浦美看徐冰的展览，对徐冰的作品只是粗略了解，没有仔细研究过，但我的认知是他的“语言”是对传统语言系统的颠覆，通过阻碍读者去遵循既存语言系统的规律，解读其中含义，从而让人们意识到语言是如何规范我们的想法和行为的。但参观途中碰到一个妈妈很凶地训诫小孩，不好好研读每一个字符和字母，怎么能理解这些文字的意思。有点讽刺。,2022-02-13 03:10,15,2,0,,,
Hv6ymxG5D,https://weibo.cn/comment/Hv6ymxG5D?uid=1837896330&rl=0#cmtfrm,":最近痴迷anthropology of food, 下午读了篇入门文章(Marvin Harris’s “The Abominable Pig”), 终于搞懂了为什么中东—包括古代犹太人和穆斯林—不吃猪肉：牛羊吃富含纤维的饲料（比如稻草和谷物）会产肉产奶，但猪吃了会瘦，跟人一样，所以在饮食上和人类存在竞争关系；牛羊适应干旱的环境，但猪喜欢潮湿的环境，而且没有具有排汗功能的汗腺，天热了就喜欢在泥地里打滚来降温，热得受不了会吃自己的排泄物，不适合在中东生活。所以中东很少吃猪肉可以说是一种由宗教监管和强化的经济选择。从这篇文章里还学到了另一个知识点，就是骆驼的驼峰里贮藏的不是水，而是脂肪。这样皮肤里只需要一层很薄的脂肪，加快散热。好羡慕骆驼，我也想把脂肪只放在身体的某两个部位。",2019-05-20 21:16,6,2,3,,,
EmrwGbKXD,https://weibo.cn/comment/EmrwGbKXD?uid=1837896330&rl=0#cmtfrm,自从知道要去巴厘岛后，我就是一条咸鱼了。自从买了机票后，我就开始构思怎么跟教授说这篇论文我不写了。  ,2016-12-17 01:54,3,2,2,,,
EnGDaeBxJ,https://weibo.cn/comment/EnGDaeBxJ?uid=1837896330&rl=0#cmtfrm,Merry ChristmasPhoto: Ellen von Unwerth  原图 ,2016-12-25 06:11,9,2,0,,,
E8OAjfanQ,https://weibo.cn/comment/E8OAjfanQ?uid=1837896330&rl=0#cmtfrm,刚从Chelsea回来，明明有爆炸，附近的人们依然衣着光鲜该吃饭吃饭该喝酒喝酒，c'est fou.  ,2016-09-18 10:52,0,2,3,,,
EayUvEQBC,https://weibo.cn/comment/EayUvEQBC?uid=1837896330&rl=0#cmtfrm,"A ""melancholic dissolves into tears while waiting for a text message that will never come"" (Ben Eastham writing for Camille Henrot's ""Monday,"" 2016, exhibition at Fondazione Memmo).  原图 ",2016-09-29 22:38,1,2,0,,,
G7o3H2wOz,https://weibo.cn/comment/G7o3H2wOz?uid=1837896330&rl=0#cmtfrm,Liar-LÉON-专辑《Liar》  ,2018-03-14 22:58,1,2,0,,,
J1VRuAgOH,https://weibo.cn/comment/J1VRuAgOH?uid=1837896330&rl=0#cmtfrm,一直好奇燕麦奶是不是只在中国火，在美国通常选豆奶或杏仁奶，然后瑞典朋友说在瑞典也没什么人喝，超市里卖不出去经常打折。然而在这里，好像有点“格调”的咖啡馆都有燕麦奶的选择，连星巴克也加入了。  ,2020-05-14 22:13,0,2,13,,,
GdQyRdI0l,https://weibo.cn/comment/GdQyRdI0l?uid=1837896330&rl=0#cmtfrm,":朋友推荐的一篇NYTimes文章里讨论到the popularization of feminism on social media, 其中引用了Emily Ratajkowski的采访: “To me, female sexuality and sexiness, no matter how conditioned it may be by a patriarchal ideal, can be incredibly empowering for a woman if she feels it is empowering to her.”Well, posing like a porn star is not female sexiness, and living under the male gaze is not what I call empowering.作者总结得很到位了: “Women are expected to perform femininity and feminism at once.”原文链接：网页链接",2018-04-26 10:34,3,2,0,,,
JrZQnmXzM,https://weibo.cn/comment/JrZQnmXzM?uid=1837896330&rl=0#cmtfrm,想要微信复古回潮，采用QQ的上线下线隐身功能，最好还能对每个联系人设置允许接收信息的时间段。  ,2020-11-02 08:09,6,2,0,,,
