content,publish_time,like_numlocation,forward_num,comment_num
:npd喜欢扮演思想深邃这件事，我现在发现不是个例。比如喜欢眉头紧皱，鄙视别人看的书没有深度，喜欢特立独行标榜自己，然后给你一点“只有我有这个能力懂你”的暧昧。但我现在明白这种标榜实际上是一种表演，他也不是懂你，只是觉得你条件可以下手。我发现当你自己水平不高的时候无法分辨这人实际上是傻x，知道你的水平可以碾压他以后，你发现这人全程其实就是在故弄玄虚，深沉的智慧都是装出来的，这可以解释他身上的矛盾：因为他的智慧其实是你的滤镜和幻想，其实他根本没有那些智慧。但他行为上的傻逼是真实的。如果谁有过年轻时恋爱脑导致的悲惨往事，那我就有这么一桩。,2023-12-07 15:55,14,7,3
我看网上那种说追自己的人很low（要给她点外卖但超过20就不行），就很迷。这种人是不是不明白追你的男人low成这样，本质上是因为她自己也很low。。。那种很爱骂前任low，前任穷，前任能力差，本质上你们都是因为条件匹配你才能遇到这样的人。,2023-10-25 03:56,4,7,0
:比利周都有梦女这个事让我感觉可以总结出一类人物画像。就是这种梦女基本上都是对男性有不切实际的幻想的那类人，而且也都是恋爱脑的那类人，所以这些人其实可能根本就没接触过几个男的或者谈过恋爱，但是脑子里整天就是小号圈关注一大堆情感博主钻研情感理论，本质上就是又菜又爱做梦，这种人在现实就是很容易在两性关系里碰壁。不管是谁的梦女，有梦女行为，基本都是这个样子。,2023-10-15 04:37,12,7,0
一个女的如果天生智商低就很惨了，如果她智商低，还媚男，一辈子一定命运多舛  ,2023-12-15 04:19,5,7,0
:我在想对男人的执念这个问题（txl和yxl都是一样的，类推）其实每一个动过心的人都会有过，只要对方没有跟你碰上，这就是很常见的事情。但我觉得大部分人应该十几岁的时候发生，小孩子写酸诗，作怪或者写幻想文学还觉得有点可爱。一大把年纪了还这样就有点惨了，而且还是刷软件遇到的，成年人的世界里碰到这个，都不知道有啥幻想可言（或者是太低级的执念了）。这就是为啥我觉得大家都要早恋，你要是知道世界上的男人都差不多，这个过了还有下个，还有啥执念？有谁值得你执念？,2023-11-08 09:50,15,6,2
:我觉得为什么要劝大家都有机会去谈恋爱，因为那种长时间缺乏异性关注的女的（或者已经自认为没有异性关注自己的女的），她对同性的恶意比容嬷嬷还狠。被异性关注这件事，据我观察是非常容易的，但很多女的自我洗脑，我不配异性关注，我不漂亮，然后就会真的恨自己，然后也会恨同性。一旦发现同性跟她谈这方面的任何内容都会非常恨。,2023-11-07 04:12,14,6,0
:白劈男不一定都性骚扰，但性骚扰男一定是白劈。这种男的如果有老婆也是白劈来的，所以这人的老婆一般都是脑子不清醒的那种。如果你被这个男的xsr了是受害者，被他的老婆知道了，他老婆说不定很大概率会跟他一起成为你的加害者。因为这种男的他找对象的要求也是最容易白劈的那个，所以这个女的一定是相当脑子不清醒才会被他选定为长期对象。而这个女的，即使她主观意识上并不想做坏人，但因为她相当受男的操控，甚至加上嫉妒的因素她一定会伙同这个男的成为加害者，而不是离开他跟你一起指责他的错误行为。,2023-10-26 23:52,2,6,0
:女的有事业，对人生有掌控，跟有一个幸福家庭，伴侣对自己好本身不冲突。但如果就是想躺着，不过是把自己的血肉躯体拿去卖，当然是可以卖上钱（连以前的奴隶都是明码标价，只是必然要经历权利让渡罢了），中国人对这方面的研究不深，本来也是奴隶制社会。我不知道是为什么。昨天去看了一个展，讲的是黑奴的陶艺作坊，所有的陶制品，作者都被剥夺了署名权，署的都是作坊主人，奴隶主的名字。国内跟奴隶相关的历史都被洗刷，奴隶自己也是人，也有独立的思想，也有创造的渴望，也经历名字和身份被剥夺的痛苦。但小时候在国内学的都是被脸谱化的奴隶，他们的痛苦只有吃不饱穿不暖。,2023-11-20 00:30,16,6,2
我觉得很多人成天就琢磨怎么获得爱。其实人要是每天净琢磨这些，就是没有魅力的人。有魅力的人，是有很strong的character的。这也不是一些人说的慕强。一个人要是有鲜明的个性，不屈服的意志，本身就是非常强大的魅力，这件事也不随岁月而改变，一些人死了几百年仍然通过文字让后人爱慕。  ,2023-12-12 15:13,30,6,3
我觉得想法不会凭空出现，这个人如果有一些神奇脑回路，比如看见别人过得好就会恨，虽然跟他一点关系也没有。这件事是因为这个人的心理内驱驱使的。是什么心理内驱呢，你推断一下就知道很好笑的，也会觉得很可怜的。  ,2023-12-04 06:20,11,5,0
我觉得很多人恋爱脑实际上是很享受的。你让他动作不出问题他就丧失兴趣。说实话我觉得他们对自己也不是很诚实，明明想发疯也不敢勇敢承认自己想发疯。  ,2023-11-14 02:40,0,5,0
:那个开911逃逸的果家女的开车这个事情是做的不对，不过立马就带风向说这个女的进果家也是不明不白的也是什么心理，男的自己进不了看到一个肇事美女进去了就跳脚了，屌丝凤凰男刷题进场的不是多了去了？我们高中倒数第一名还在微软，这人也是极为普信，从小到大就没有考过我们班上任何一个女的，到现在也敢在我们这些女的面前充大爹加xsr，是不是就是你们这些社会上的垃圾惯的？要是没出社会这种人在我们班上那种单纯的环境连跟女的说话的勇气他都没有。,2023-10-15 10:49,19,5,0
真的通过别人蠢衬托自己很聪明找存在感的人，你又有多聪明？真的傻x  ,2023-11-28 16:37,4,5,0
听曲姐的时候就感叹，网上骂曲姐的那种纯爱女的，有几个男的真心实意的对待过你啊，就纯爱纯爱的，服  ,2023-10-29 05:44,18,5,0
:#6位女科学家当选院士# 首页被推送了这条，非常有意思，大家可以做做数学，再对比一下图三。每次女的争取到了什么成果，他们总会锣鼓喧天的汇报，好像给女性赏赐了什么莫大的荣誉，实际上施舍给你的利益不过是那么小小一点，他还要让你感恩戴德。然后我想起来小时候我老是跟我说的一件事。我从跟从的学围棋的老师当年是国家队的，她跟孔祥明是老闺蜜。孔祥明当年在国内是女性围棋第一人的存在，我老师说她的水平已经早就到达九段，但因为是女的，当时只给她定八段，意思就是女的最高水平不过是八段而已。孔祥明的前夫，就是大名鼎鼎的聂卫平。可惜男权社会里捧为alpha的聂，对于人家来说只是一个渣男。,2023-11-26 14:06,12,5,0
":苏河湾这些评论里的女的都是骂小刘的这些女的想搞小刘，说实话就是以为小刘有钱小刘会花钱，但都是花在自己身上，不会花在你们这些女的身上的。比如我们这种到现在一个月学校工资发三千刀，在自己身上花七千刀，看上去过得挺好但净资产都是负的。这是留学生普遍生存状态。（湾区码工除外）小刘一个是没钱（比起有自己赚钱能力的人），再一个是,小刘根本就不觉得你们这些女的值这么多钱。他们每天对标的女的什么，是女小留。女小刘也成天从头到脚花枝招展的，但跟你们这些yc女不一样，人家的奢侈品是家里买的从小就有的，人家长得漂亮是天生的，人家的学历是自己读的，人家毕业了一年工资也能一百个。去yc的男小刘都是同学里面剩下，找不到配不上他们能接触到的女小刘的，所以就去yc。但去了yc他看得上你吗？他对标的还是女小刘，男的都是这样的，他虽然搞不到，但他很有配得感，人比人气死人，他就更不愿意给你钱。yc女从哪里最容易搞钱？还是从那种没有见过女的的，底层上来的，长得也不怎么样的，自己年轻的时候没有异性愿意搭理的，那种土老板暴发户富一代。这些男的也没有见过什么出身质量很好的异性，他对异性的要求比较低，他年轻的时候也没有几个嘴甜的愿意捧他，所以他特别吃情绪价值，给yc女钱捧自己他觉得值，就会花大钱。",2023-10-23 04:25,10,5,0
:甜言蜜语带来的幸福感一定是真实的，因为你当下就能快乐几分钟，你本身从身体到心灵都是进行了参与的。现实生活中很多人的问题在于，他们的幸福感都是幻想出来的，本身出了他自己没有人在参与。比如这个人明明对她态度很差很冷淡，但是她有幻想，他们有一个幸福的终局（实际上根本不可能有的，这跟男的连说两句好话的动力都没有，还想跟你过一辈子啊？），然后就为了这种幻想出来的幸福忍受当下的不愉悦。或者这个男的对她殷勤一点，本来就值得你高兴三分钟，她就自己给自己画饼，觉得这个男的以后给她一个亿。她就有了巨大的不匹配的幸福感，因为她的的幸福感是因为这一个亿的饼，不是因为当下男的对她殷勤。这当然是注定要破灭的幸福感。,2023-12-06 04:28,13,5,1
曲姐说的这个就是一语道破，稀巴烂的关系（曲姐定义的稀巴烂的关系就是非一对一的关系，就是搞破鞋），你要寻求情感就不要在稀巴烂的关系里面找。你要搞破鞋，除非能给你交换到物质和利益。很多人一大把年纪因为心灵空虚搞破鞋，最后除了葬送美好生活和家庭之外没有任何意义。  ,2023-10-09 03:05,12,4,0
:曲姐这个连麦，说一个女主播找了一个大佬，这个大佬等级很高（在网上给很多人刷），但给她刷得很少（她是n分之一），然后这个大佬每天给她发红包，但是她（最开始）拒绝了，最后收了。我就想起我姐之前那个前男友微信上的ww群，他每天就在群里发红包让这些女的抢。我就觉得你为啥要装矜持？为啥要装不收？你不收会高贵一些吗？你不收人家只会觉得你装什么装（最后还是收了）,2023-11-15 01:06,1,4,0
:老公家新养的狗真的非常聪明，他跟人差不多了。虽然是一只小狗，他懂得想出去拉屎的时候就拉响铃。但这个狗又是一个attention whore，他现在学会了没有人理他的时候就拉铃发假警报，逼别人带他出去拉屎，他其实根本就没有屎，就是想出去玩一圈。而且这是一个人来疯狗，他见到人就跟发疯一样。但我后来发现他完全是可以安静的，家里没有人或者没人理他的时候他就很安静并且显出一副思考的模样。,2023-10-27 15:14,10,4,0
我说实话真的现实生活中好多黄男就是特别抠。一个女生找他帮忙，他先看你是不是美女，是美女他帮你的时候还会语言猥亵一下子，故意拉长时间找机会跟你单独相处。要是和丑女他理都不理。找人帮忙，找个男的和女的的体验截然不同的。  ,2023-12-14 16:02,15,4,3
全世界的男的都是一样的。我老公上学期间学cognitive science的时候就讲过这个，叫error management theory: 网页链接女的不能给他好脸，给他好脸他就当成是flirt。也不能不给他好脸，会被当成碧池。所以为啥很多女的说没有直男朋友呢，真的不怪女的。  原图 ,2023-12-14 14:50,4,4,0
比利周什么时候也成为县城捞女wannabe理想老公模板，关注他的好多这种  ,2023-11-17 03:10,4,4,0
:有时候说即使是两性关系也是利益计算这种话，虽然是血淋淋的现实，还是只有本身价值就很高的人才能很轻易的接受。本身没有什么价值的人就是体会不到浓度很高的爱情，或者一听到这种论调就会跳脚，本质上就是对自己没有安全感，连唯一一点被爱的幻想也被戳破，这是国内物质贫瘠的国情决定的。在社会保障想对充足的地方大家考虑物质就不是那么厉害，普通人之间有信任和爱，就更加容易一些。,2023-11-07 02:24,6,4,0
哪个男的跟我讲认知，我立马说你该给我钱了。  ,2023-11-27 12:55,7,4,1
:人有天生的大方和自私。我本身就是一个非常愿意付出的人。但是我一旦碰到那种接近我目的性很强，就是想从我身上获得什么的人的时候，我立马对这种人就会很提防，一毛不拔。这些期望别人给他们无条件的爱的人是一样的，ta一旦期待对方对ta无条件的付出，那么对方立马会跟我一样打开警戒。别人愿意无条件的爱你，都是认为你值得。本身不值只知道掠夺的人，就是没有人回去对ta敞开心扉。,2023-12-14 05:59,6,4,0
:我觉得一些女的对男的有依附心态，很喜欢跟一些垃圾一样的男的裹来裹去，还被这些男的当傻x耍自己还很津津有味，能看出来这些女的一辈子没有被男的崇拜过。很多黄男的虽然厌女，但是他可以对你这个人是身心崇拜的，在这个时候他甚至可以女权一下。你有这个水平，就算是个女的他也会崇拜你。那种极度自恋男的，即使他从没有爱过任何人，他依然会对条件比他好很多的女的当舔狗，他对条件不好的也是根本就懒得理的。我听过不止一个男的在一些emo的时候提到自己的白月光，无一不是上学期间成绩非常优异长得干干净净的那种女的。然后他远远的用一种卑微的态度观望了很多年。,2023-12-09 03:35,6,4,3
:我觉得被强者刺激了你就会想我以后会更努力。比如我老板这样的有时候体现出“xx应该很容易，你应该更努力”，只会让你更往前冲。但是被人pua，你就不会觉得被刺激了，你就会觉得委屈，还会击打你的自信心，让你内耗。因为本质上就是莫名其妙，你被打压不是因为你不好，就是因为他想从根本瓦解你，她就是想贬低你的人格，不想让你变得更好。,2023-12-02 09:16,23,4,0
:高估对方的原因有很多。对于我这类非常自恋的人来说，高估对方的原因是我本身是个完美主义者，我本身就非常挑剔，我认为我中意的对象必然不仅是超凡而且完美，这件事本身体现的是我本人的品味，所以不愿意承认我看上的人真实的情况根本不如我想象的那样优秀，我甚至愿意故意给他贴金来满足我的完美主义和自恋。这件事让我青春期十分困扰。我们天生自恋者需要从很多维度克服自恋，接受现实的不完美，然后拥抱不完美，过上“虽然不完美，但很值得爱”的一种现实生活。,2023-12-07 16:21,14,4,0
我们小时候也有那种去乡村福利小学的经验。以前去这些地方，回来都会让你写感受。以前的感受基本上就是，我有现在的生活我是很幸运的。但是我现在的感受是，一个社会，能让普通人过这样的生活，基本的权利都没有保障，那么这个社会的保障机制和公共服务是有问题的。我们是交了税的。  ,2023-11-27 14:57,14,4,13
:真正的贵人是什么样子的，我真的觉得那种对着有钱人舔还自以为遇到贵人的人真的就是没有遇到过贵人。比如张桂梅一定就是那些乡村女学生的贵人。我自己高中的时候，差点就没有高考，还是我一个从小就在她那上课的补习班的老师，把我带去他们家，每天盯着我复习了一个月，我才去高考，否则我根本就不可能正常升学，也许到今天一辈子就完了，是一个高中毕业的家里蹲。这个老师就是我一辈子的贵人。再比如我老板也是我的贵人，而当时我老板也深陷系里的办公室政治，但仍然帮我了一把。你碰到了真正的贵人，你就要感谢别人。对那种看上去有钱有势的人疯狂舔的人是势利眼，这种人本来人品就差，不会有真的愿意帮他的贵人。,2023-11-23 13:06,17,4,1
我很久没有看这个公众号，一看娃姐的第一个案例就脑子嗡嗡了，早先还是骂得不够狠  [组图共4张] 原图,2023-10-25 16:02,0,4,0
:曲姐昨天连一个女的说自己强势结果被老公赶出家门了。完了这个女的还说是自己强势，曲姐说她是典型的外强中干。说实话会反思自己强势的人就是不强势的人，真的强势的人不会反思自己强势。真的强势的人都是靠自己的强势拿到结果占到了好处的，因为脾气差觉得自己强势结果最后还被赶出去，那就是外强中干。,2023-10-29 03:07,9,4,0
我真的觉得，渣男别的都不好，眼光那是真的好啊。他怎么下手的都是质量那么好的女生。现在这些女生每个都有老公，每个老公都比他优秀而且每个都是老婆狗。  ,2023-11-28 03:03,3,4,0
:曲姐教这些女生有高级感，说实话谁都想要有高级感，为什么他体现不出高级感，因为他就是个低级的人。高级感要有眼界，要大气，要有智慧，要通透，本来就是需要很多思考和物质来支撑，为什么你不贪小便宜，有的人是因为物质够了，有的人是因为精神满足不在乎，那种抠搜自私小气的人就是不可能不想去占小便宜不可能不前后矛盾内耗。曲姐本身家里就把她养的太好了，她是本身直觉就是一种高级感。大部分人当然是想装高级感，但是低级人就是装的不像，就更好笑了。,2023-11-03 05:21,3,4,0
:一些做损人不利己的事情的人，我之前说过是因为恨自己千倍百倍。但一些不择手段损人利己的人，他对别人狠，对自己也狠，但他也有爱，他真的爱的是那个未来的自己，是自己可以成为的那个人。所以他可以下手那么狠，斩断情丝，或者逼自己跟不喜欢的人在一起拿点好处。Billie Eilish写的分手歌就是I'm in love with my future 所以要跟眼前的男人分手，我不爱你了。她当下分手也很痛苦，但她移情别恋了，她爱上另外一个人了。,2023-11-27 01:56,7,4,0
万柳书院这个红我真的看不明白：住在一个好小区的普男都能红，说明中国有钱人跟捞女wannabe是一个怎么样的人比例，关键是，前者开个逗引都把后者割了。这究竟是因为国内经济太差了。  ,2023-11-11 08:30,16,3,1
去查了下老婆年轻的时候也是风华绝代大美人，关键是离婚三十多年了，这男的怎么一点边界感都没有  原图 ,2023-11-01 16:25,0,3,2
:我见过一些男的，他觉得自己可清醒，属于二本子怀才不遇一辈子那种。他觉得自己清醒是为什么，比如看了一本厚黑学，乌合之众，卡耐基，他觉得自己极端理智，是因为他觉得不可以相信任何人，所有人都有目的，所有人都想扒他的皮，所有人都在互相利用，人之间的关系是虚假的。这种就纯属于先天不足再加上脑子被门夹了一回。他把这种，当成他清醒，误以为他理智。而且他一辈子都不知道自己蠢在哪里。,2023-12-06 04:57,11,3,0
:我觉得emotional intelligence最大的用处并不是操纵别人，而是如何识别别人的需求。这一点我在我一些朋友身上就观察到了（那种特别有emotional intelligence的人，有一种是服务型人，这种人就是周到得吓人，他比你还了解你的需求）而且现实生活中就是很多人稀里糊涂连自己想要什么都没有清醒的认知，但是这种人就能找出这些人的需求,2023-12-01 04:53,9,3,0
我在听什么，曲姐连麦这个女的跟男的在一起夹了四五个娃娃  ,2023-11-07 02:10,0,3,0
曲姐连麦好多凤凰女让人听了觉得好心疼。都是一穷二白靠自己打拼出来的，凤凰男就完全没有这些障碍，这些女的背后都有一大堆拖累，拼命把她往下拽。  ,2023-12-09 04:17,6,3,0
我跟老公一次去泰国餐厅吃饭，隔壁两个长相典型的老钟，一男一女，性缩力很强的那种，看我们进来，男的就开始说：你觉得找老外如何。女的开始复述吸尘大妈的理论。那一刻我突然觉得听不懂中文是一种幸福。  ,2023-12-09 05:34,4,3,0
:即使是靠男人的女人，把情感作为技能的雌竞选手跟被某一个男的养起来的人从心态上有根本区别。前者其实是跟谁都能搞到钱，她就有十足的安全感，因为技能在她自己身上。而一些没有情感技能的人，只是在靠天赏饭吃，全身心指望在男的身上，看男的那天心情好给她一些，男的心情不好打她一顿，那每天就是毫无安全感过的战战兢兢，因为自己活成这样没有选择。曲姐教你情感是技能，实际上是让女的用雄竞心态搞雌竞，虽然雄竞雌竞都是娃姐从书里断章取义出来的民科词汇，看似没有什么高下之分，但在这种情况下所谓“雄竞”才是让人格能够站立的正道。我觉得所谓“雄竞”，“雌竞”，被娃姐断章取义的翻译出来并不准确，另一方面其实是在语义上贬低女性。她讲的“雌竞”，其实指的针对“性吸引力”的竞争，而“雄竞”是针对资源占有的竞争。雄鮟鱇鱼寄生在雌性身上，没有雌性不能生存，那对于这些鱼来说“性吸引力”的竞争就是雄竞了。,2023-12-16 11:57,4,3,0
国内跑地方办文件都是服从性测试，翻来覆去让你花大量的时间去交一个很小的表格，可能几个月都搞不成，每次让你改一个标点符号，你又重新从头到尾跑一次。但是你只要知道了谁可以送礼，立马就通过了。  ,2023-10-23 14:28,24,3,0
:才华本身才是向上社交的利器，因为才华在哪里都稀缺。之所以能被上层接受，是因为你本来就属于那里。年轻+有才华，向上爬升是迟早的事。曲姐说自己结交到年长的女强人是因为对方认可她有价值潜能，倒不如说是对方认为她未来可期。很多人对于自己的未来的了解都不如一些年纪大的一些拿到了结果的人看得明白。,2023-12-14 08:28,12,3,0
:听曲姐的北京土著连麦也是，非常有意思。我观察一些北京土著（北京出生的人不一定都是北京土著，很多人没有那个味儿。我说实话就是小市民阶层，经济条件不算算特别糟糕（饿不死）但是也上不去，很有那个味儿），明明连麦是自己状况很糟糕，连麦都是有问题，但是说话也就是很忍不住充大尾巴狼，keep saying自己状况非常好，非常完美，经济条件非常好，中等偏上，老公非常爱自己，非常完美，本人天龙人。完了提问的时候又忍不住说真实情况，就是老公也不行家庭条件也差。两种语言表达杂合在一起，体现出一种奇异的荒谬。,2023-12-06 16:27,7,3,0
:社会底层更多坑蒙拐骗，人与人之间毫无信誉，就像菜菜说的那样，完全是依靠野蛮的拳头和暴力，社会底层的女人很多就是依靠骗来生活的，但依旧活得很糟糕。很多时候这些女性就是认为自己如果不去骗，就没有办法通过别的途径挣到钱，她们也没有受到教育，也没有雄竞能力，她们也不相信靠读书提高雄竞自己能有什么希望，不相信自己有能力，往往这种生存方式就是恶性循环。,2023-11-22 06:29,8,3,4
男的给她点屎吃还觉得自己香到了的人，让人看了实在恶心了  ,2023-12-15 04:29,1,3,1
曲姐连麦为啥特别多那种感情经历都没有，提到的“大佬”都是话都没说过的，然后问曲姐怎么捞男人  ,2023-11-11 07:35,0,3,0
:曲姐说那些大部分超她的青砖跟她的根本区别是逻辑底色，因为曲姐是真的认为女的比男人强，这些青砖就算是学了很多术语话术，他们的底层逻辑还是相信女的不可能比男人强，所以根本就没有办法真正学到曲姐。我这些年看到不同的男的和女的的恶，说实话很多女的的恶，本质是因为弱，不是因为有多恶。男的那就是纯粹作恶。女的认为自己弱，相信自己不可能强，那她就会用一种恶的行为方式去做事情，而且结果一般是损人不利己。男的如果做损人不利己的事，一般就是纯粹智商低。但很多女的智商并不低，依然做这种事，就是纯纯认为自己弱。,2023-11-22 06:19,21,3,0
:做题家在东亚社会很容易成为自恋者，但是做题家本身的能力又很有限，我很多能力都是成年之后脱离做题家环境才得到发展。而很多人除了做题，别的能力就无法得到发展，比如成为一个典型的湾区incel。我还有些同学就是匪夷所思到读研的时候不会自己找房子，所以让自己的父母到处求人在美国给自己介绍租房，基本的自理能力也没有。所以这些人脱离东亚环境也没人鸟他，在美国不像在国内谁都把他捧成天之骄子。或者在国内走上社会以后因为社会环境的原因，家里没有实力，就被原本非做题家但富二代的人踩在脚下，什么资源都拿不到，面临很大差距。这些人就会面临很大的自我认知的问题。一些无法破除自恋的自恋者就是这样，他迷恋的自己其实也不是真实的自己，迷恋的别人也不是真实的别人，但他的ego又非常大，大到无法对自己的认知产生自我反省，所以一直生活在巨大的自恋的幻想中。一些这些自恋者他的智商是比较高的，其实有思考能力，但是他的ego又比他的智商更大。,2023-10-08 12:38,26,3,0
:其实卡姐发的那个女大mean girl就是一些典型女大，现实生活中跟六个人挤一个宿舍每天为了几点钟关灯谁多交二十块电费吵架，大概这种生活过了六年，然后内心一直郁郁不得志，大概是老娘才华横溢长的也不错怎么还在这个小破地方过月薪三千的生活，每天面对她口中的县城黄黑皮心想老娘如此高贵怎么还跟你平起平坐，自认大美女结果读了六年大学也没碰见哪个男的愿意包养我，这样老娘的就不用在学校投硬币用公用洗衣机洗袜子被人diss。转眼过了二十五了，青春好年华，国内普博毕业接近三十了也就年薪十万，眼看房贷还要还三十年，只能一辈子愤懑不平转眼把怒气发泄在下一代上。,2023-11-15 11:25,8,3,0
曲姐前几天说的她看得musk就antisemitism的采访。说实话最近有消息说X要破产了，因为antisemitism没有management X丢失了大笔广告业务。因为elon musk之前为了省钱把他们相关的safety and trust team都裁光了。  原图 ,2023-12-07 05:49,1,3,0
:其实在东亚社会稍微有些才能表现的人很容易成为自恋者，而从小才能和表现都不突出的人又会成为低自尊者，因为这就是东亚社会有条件的爱造成的，在学业和别的地方表现优秀就可以获得包括父母和学校老师在内所有人的赞赏和奖励，这些人就容易自我膨胀。而表现不好的人就容易获得贬低和忽视。好像获得自尊就是必须要绝对的能力做支撑。但实际上是个人都很需要自尊，这跟能力与否是没有关系的，况且很多人本身的天赋本身就没有被合理的开发和培养的，一辈子被打压，到死也没有发挥出来。,2023-10-08 10:22,20,3,0
男的终身都很幼稚的。我觉得很多人二十几都很幼稚，那一辈子估计也就这样了。不是一个level的人只能是萍水相逢的过客，不可能有什么深层次的绑定。  ,2023-11-22 05:09,9,3,0
受不了年纪大的男的在我面前装逼，年纪大是啥优势吗，别的地方你也没有强到哪里去，年纪大难道不是劣势吗。为什么还在你面前装上了。  ,2023-12-12 06:48,5,3,1
:不过我dating一定会看学历的，本科是底线。本科学校qs多少提前调查。我觉得美国人其实对这件事情snobby程度远远大于国内的，还什么鸡腿阿姨学历露阴癖，美国人直接每天穿学校的校服，大LOGO。，去纽约看一些老头子毕业三五十年还在穿，见人打招呼go bears。周边印在每一个角落，车背后贴满了，连车牌都是学校定制。我觉得不至于学历露阴癖，美国人是学历裸奔。,2023-12-09 18:41,9,3,0
学二代就算是有privilege也多的是虚心向学平时努力踏实的，而且智商高的很多，因为智商受遗传影响大，父母做题家小孩很多天生做题家。但这种把privilege挂脸上出来恶心人的傻x那真是值得被鞭  ,2023-11-09 00:30,2,3,0
我觉得平时大家看到谁骂一骂也是很正常的，比如我也骂别人，别人也骂我。但是那种stalker，对某一个人有很深的执念，其实是一种网络霸凌，但这种人现实生活中必然也是没有什么能力的这种。无能的人，竟然还想霸凌别人，那就是这种结果和表现形式。  ,2023-11-25 03:13,8,3,0
